	exact_age	length_of_residence	num_adults	gender	hh_marital_status	dwell_type	urban_rural_flag	flag_pres_kids_true	age_range
44203	68.0	23.0	3.0	0	0	1	1	0	65.5
44204	41.0	0.0	2.0	0	1	1	1	0	45.5
44205	28.0	0.0	4.0	1	0	1	1	0	25.5
44206	54.0	11.0	1.0	0	1	1	0	1	55.5
44207	71.0	45.0	2.0	0	0	1	1	0	75.5
44208	67.0	36.0	5.0	0	0	1	1	1	65.5
44209	69.0	7.0	2.0	0	0	1	0	0	65.5
44210	52.0	11.0	2.0	1	0	1	1	0	55.5
44211	57.0	5.0	2.0	0	0	1	1	0	55.5
44212	49.0	11.0	2.0	0	0	1	0	0	45.5
44213	51.0	7.0	2.0	0	0	1	1	0	55.5
44214	34.0	1.0	2.0	1	1	1	1	0	35.5
44215	52.0	4.0	1.0	1	1	1	1	0	55.5
44216	60.0	19.0	6.0	1	0	1	1	1	55.5
44217	31.0	26.0	3.0	1	1	1	1	1	35.5
44218	52.0	11.0	2.0	1	0	1	1	0	55.5
44219	64.0	21.0	3.0	1	0	1	1	1	65.5
44220	56.0	27.0	5.0	0	0	1	1	0	55.5
44221	50.0	14.0	3.0	0	0	1	1	1	45.5
44222	76.0	30.0	2.0	0	0	1	1	0	75.5
44223	61.0	13.0	3.0	0	0	1	0	0	65.5
44224	24.0	5.0	1.0	1	1	1	1	0	25.5
44225	49.0	11.0	2.0	0	0	1	0	0	45.5
44226	45.0	1.0	1.0	0	1	1	1	0	45.5
44227	50.0	8.0	4.0	1	0	1	1	0	45.5
44228	63.0	6.0	2.0	0	0	1	1	0	65.5
44229	36.0	6.0	3.0	1	1	1	0	0	35.5
44230	59.0	15.0	5.0	0	0	1	0	0	55.5
44231	55.0	17.0	2.0	1	0	1	1	0	55.5
44232	48.0	15.0	2.0	0	0	1	0	0	45.5
